Name,English,French,Armenian
js,JavaScript,JavaScript,JavaScript
node.js,Node.js,Node.js,Node.js
python,Python,Python,Python
react,React,React,React
vue.js,Vue.js,Vue.js,Vue.js
cpp,C++,C++,C++
cisco,Cisco,Cisco,Cisco
linux,Linux,Linux,Լինոկս
windows,Windows,Windows,Windows
itOPs,IT Operations,Opérations IT,ՏԵՆԻՔակառավարում
techCoord,Technical Coordination,Coordination technique,Տեխնիկական համաձայնագիր
training,Training,Formation,Մարզվել
qa,Quality Assurance,Assurance qualité,Ընդունման վարաբերություն
complianceMgmt,Compliance Management,Gestion de la conformité,Համապատասխանության կառավարում
graphicDesign,Graphic Design,Design graphique,Գրաֆիկայի դիզայն
webDev,Website Development,Développement web,Կայքի զարգացում
sysImpl,System Implementation,Implémentation système,Համակարգչային իմպլեմենտացում
socialMedia,Social Media Management,Gestion des médias sociaux,Սոցիալական մեդիայի կառավարում
inventoryMgmt,Inventory Management,Gestion des stocks,Գույքագրումի կառավարում
documentation,Documentation,Documentation,Փաստաթղթավորում
softwareMaintenance,Software Maintenance,Maintenance logicielle,Ծրագիրը պահպանում
